trimestre,canalAcesso,produto,acessoATM,qtdTransacoes,valorTransacoes
20204,Correspondentes no País,Consulta Saldo/Extrato,Não aplicável,71611598,0
20211,Telefone Celular,Ordem de Transferência de Crédito,Não aplicável,292213427,"635515584816,03"
20211,Posto de Atendimento Cooperativo,Outras Financeiras,Não aplicável,88384,"1495878359,52"
20211,Telefone Celular,Consulta Saldo/Extrato,Não aplicável,9730960082,0
20211,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão próprio,1134656,"27853587423,54"
20211,Internet Banking,Pix,Não aplicável,23850798,"142358147205,1"
20211,ATM,Saque,ATM/Acesso restrito,300017154,"192041073949,88"
20211,ATM,Ordem de Transferência de Crédito,ATM/Acesso restrito,24097421,"41679235242,53"
20211,Agências,Depósito,Não aplicável,62409965,"2534694707402,23"
20211,Agências,Boletos e Convênios,Não aplicável,64857834,"141488852803,81"
20211,Posto de Atendimento Cooperativo,Depósito,Não aplicável,6037306,"11246718286,84"
20211,Posto de Atendimento Cooperativo,Ordem de Transferência de Crédito,Não aplicável,7567161,"71385236349,59"
20211,Agências,Outras não Financeiras,Não aplicável,58961017,0
20211,Telefone Celular,Boletos e Convênios,Não aplicável,747636508,"399144869701,49"
20211,Correspondentes no País,Outras não Financeiras,Não aplicável,2197730,0
20211,Internet Banking,Outras não Financeiras,Não aplicável,1365866888,0
20211,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão próprio,23049904,"11601340189,89"
20211,Centrais de Atendimento,Ordem de Transferência de Crédito,Não aplicável,347475,"21696154584,34"
20211,Correspondentes no País,Depósito,Não aplicável,113846969,"52731574031,25"
20211,Centrais de Atendimento,Consulta Saldo/Extrato,Não aplicável,138679558,0
20211,Agências,Ordem de Transferência de Crédito,Não aplicável,69286892,"2822537086769,57"
20211,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão terceiro,190248,"255400787,82"
20211,Telefone Celular,Outras não Financeiras,Não aplicável,2818039580,0
20211,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão terceiro,829999,"626585592,05"
20211,Centrais de Atendimento,Outras Financeiras,Não aplicável,395040,"111242015317,59"
20211,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão terceiro,2974,7461
20211,Agências,Empréstimos e Financiamentos,Não aplicável,133678573,"250582007752,77"
20211,Internet Banking,Ordem de Transferência de Crédito,Não aplicável,228602017,"5188996288187,91"
20211,Agências,Pix,Não aplicável,2216,"6916862,84"
20211,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão próprio,6230512,0
20211,Internet Banking,Outras Financeiras,Não aplicável,483291058,"1321989720861,8"
20211,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão próprio,262085411,0
20211,Internet Banking,Empréstimos e Financiamentos,Não aplicável,36810666,"59170190177,06"
20211,ATM,Empréstimos e Financiamentos,ATM/Acesso restrito,12125401,"4929416286,61"
20211,ATM,Boletos e Convênios,ATM/Acesso aberto/Cartão terceiro,2055933,"11082633975,18"
20211,Agências,Consulta Saldo/Extrato,Não aplicável,120468847,40
20211,ATM,Consulta Saldo/Extrato,ATM/Acesso aberto/Cartão terceiro,124277943,0
20211,Posto de Atendimento Cooperativo,Saque,Não aplicável,16771433,"10678445557,82"
20211,ATM,Ordem de Transferência de Crédito,ATM/Acesso aberto/Cartão próprio,5564126,"6934889816,75"
20211,Centrais de Atendimento,Boletos e Convênios,Não aplicável,274646,"282352191,3"
20211,ATM,Saque,ATM/Acesso aberto/Cartão terceiro,318850168,"111649119791,27"
20211,ATM,Depósito,ATM/Acesso restrito,163499899,"164092048613,95"
20211,ATM,Depósito,ATM/Acesso aberto/Cartão terceiro,3232484,3461369558
20211,ATM,Outras não Financeiras,ATM/Acesso aberto/Cartão terceiro,132597,0
20211,Correspondentes no País,Outras Financeiras,Não aplicável,487,"409591367,48"
20211,ATM,Boletos e Convênios,ATM/Acesso restrito,70200695,"39707132004,25"
20211,Telefone Celular,Pix,Não aplicável,456503686,"281295663991,19"
20211,Centrais de Atendimento,Outras não Financeiras,Não aplicável,32064707,0
20211,Telefone Celular,Outras Financeiras,Não aplicável,41165917,"115935545496,58"
20211,Telefone Celular,Empréstimos e Financiamentos,Não aplicável,232020015,"29103449168,55"
20211,Correspondentes no País,Empréstimos e Financiamentos,Não aplicável,10555378,"34458437111,79"
20211,ATM,Saque,ATM/Acesso aberto/Cartão próprio,112252738,"55444476803,56"
20211,Internet Banking,Consulta Saldo/Extrato,Não aplicável,1978485458,"20,76"
20211,ATM,Outras não Financeiras,ATM/Acesso restrito,124327291,0
20211,Internet Banking,Boletos e Convênios,Não aplicável,440527219,"1155498870220,88"
20211,Centrais de Atendimento,Empréstimos e Financiamentos,Não aplicável,650079,"12260573840,33"
20211,Agências,Outras Financeiras,Não aplicável,117722674,"2954624112038,15"
20211,ATM,Consulta Saldo/Extrato,ATM/Acesso restrito,243869648,0
20211,ATM,Empréstimos e Financiamentos,ATM/Acesso aberto/Cartão próprio,716742,"1038985715,63"
20211,Correspondentes no País,Boletos e Convênios,Não aplicável,570956563,"137456138442,75"
20211,Correspondentes no País,Consulta Saldo/Extrato,Não aplicável,65198993,0
20211,ATM,Outras Financeiras,ATM/Acesso restrito,1325660,"4671451560,23"
20211,ATM,Depósito,ATM/Acesso aberto/Cartão próprio,45300420,"55725962701,45"
20211,Correspondentes no País,Saque,Não aplicável,143863989,"72604282060,38"
20211,Posto de Atendimento Cooperativo,Boletos e Convênios,Não aplicável,57093129,"50388352089,79"
20211,Agências,Saque,Não aplicável,36013592,"231307454806,41"
20211,Correspondentes no País,Ordem de Transferência de Crédito,Não aplicável,324401,"1729806908,73"
20212,ATM,Saque,ATM/Acesso aberto/Cartão terceiro,318484257,"112831841545,77"
20212,Centrais de Atendimento,Consulta Saldo/Extrato,Não aplicável,137080612,0
20212,Internet Banking,Outras não Financeiras,Não aplicável,1352278665,0
20212,Centrais de Atendimento,Outras Financeiras,Não aplicável,401770,"137176264690,66"
20212,Telefone Celular,Pix,Não aplicável,1034699381,"528977031521,08"
20212,ATM,Outras Financeiras,ATM/Acesso aberto/Cartão próprio,1085339,"29011786766,64"
